iter	Passed	Remaining
0	0	858
1	2	1059
2	2	960
3	3	925
4	4	915
5	5	873
6	5	840
7	6	818
8	7	802
9	8	802
10	8	786
11	9	782
12	10	772
13	11	781
14	11	773
15	12	763
16	13	760
17	13	752
18	14	750
19	15	742
20	15	742
21	16	752
22	17	747
23	18	742
24	18	740
25	19	736
26	20	734
27	21	733
28	21	727
29	22	724
30	23	722
31	23	718
32	24	715
33	25	713
34	25	710
35	26	708
36	27	707
37	27	704
38	28	702
39	29	708
40	30	706
41	30	703
42	31	701
43	32	700
44	33	700
45	33	704
46	34	703
47	35	704
48	36	704
49	36	701
50	37	699
51	38	697
52	38	695
53	39	694
54	40	694
55	41	694
56	41	693
57	42	691
58	43	689
59	43	687
60	44	685
61	45	684
62	45	683
63	46	681
64	47	680
65	48	685
66	49	683
67	49	681
68	50	679
69	50	676
70	51	675
71	52	674
72	52	672
73	53	670
74	54	671
75	55	669
76	55	667
77	56	664
78	56	663
79	57	661
80	58	660
81	58	658
82	59	654
83	59	653
84	60	652
85	61	651
86	61	650
87	62	650
88	63	650
89	64	650
90	65	650
91	65	649
92	66	648
93	67	649
94	67	647
95	68	645
96	69	642
97	69	640
98	70	639
99	70	638
100	71	636
101	72	635
102	72	634
103	73	632
104	74	630
105	74	628
106	75	626
107	75	624
108	76	625
109	77	625
110	78	626
111	79	627
112	79	626
113	80	627
114	81	625
115	81	624
116	82	622
117	83	621
118	84	622
119	84	621
120	85	622
121	86	620
122	86	619
123	87	617
124	88	616
125	88	616
126	89	614
127	90	614
128	90	613
129	91	613
130	92	612
131	93	611
132	93	610
133	94	608
134	94	607
135	95	606
136	96	606
137	97	606
138	97	605
139	98	605
140	99	604
141	100	605
142	100	604
143	101	603
144	102	602
145	102	601
146	103	599
147	103	598
148	104	597
149	105	596
150	105	594
151	106	593
152	106	591
153	107	590
154	108	589
155	108	588
156	109	586
157	110	587
158	110	586
159	111	585
160	111	582
161	112	581
162	112	579
163	113	578
164	114	578
165	115	579
166	116	580
167	117	580
168	117	579
169	118	578
170	119	577
171	119	576
172	120	576
173	121	576
174	122	575
175	122	574
176	123	574
177	124	573
178	124	571
179	125	570
180	125	569
181	126	567
182	127	567
183	127	566
184	128	565
185	129	564
